r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
2.320001	1.1686004119434517	0.7673417553068637	0.1731900374664762	0.0	-0.10941240047568267	0.0	0.0	-0.19886321669629234	0.3514052544924559
2.340001	1.1692816102840395	0.7687347879624524	0.17101135733333334	0.0	-0.10845419038050717	0.0	0.0	-0.1960169244656197	0.3554289066889965
2.360001	1.1699292076306194	0.7701203098768948	0.16885192430778975	0.0	-0.10748781112348058	0.0	0.0	-0.19319944088628702	0.3594131084593925
2.380001	1.1705435558201065	0.7714981867389475	0.1667118945443795	0.0	-0.10651398277065116	0.0	0.0	-0.1904110169957203	0.36335736371382743
2.400001	1.1711250265059112	0.7728682914570167	0.16459140996559926	0.0	-0.10553340841030698	0.0	0.0	-0.18765187878404987	0.36726121728715494
2.420001	1.171674009980889	0.7742305040309372	0.16249059860428333	0.0	-0.10454677387816608	0.0	0.0	-0.1849222277346299	0.3711242538988011
2.440001	1.1721909140090083	0.7755847114192714	0.16040957495104813	0.0	-0.10355474752505216	0.0	0.0	-0.18222224138555576	0.37494609709899135
2.460001	1.172676162668523	0.7769308074025678	0.15834844030596862	0.0	-0.10255798002579808	0.0	0.0	-0.17955207391004202	0.37872640820419
2.480001	1.1731301952092679	0.7782686924430051	0.1563072831336756	0.0	-0.10155710422803664	0.0	0.0	-0.17691185671355034	0.3824648852244892
2.500001	1.1735534649265134	0.7795982735408441	0.15428617942108983	0.0	-0.1005527350394658	0.0	0.0	-0.17430169904559362	0.3861612617855444
2.520001	1.1739464380536322	0.7809194640880922	0.15228519303703864	0.0	-0.09954546935211321	0.0	0.0	-0.17172168862418935	0.38981530604751136
2.540001	1.174309592675658	0.7822321837197779	0.15030437609302968	0.0	-0.09853588600207334	0.0	0.0	-0.1691718922709837	0.3934268196232975
2.560001	1.1746434176656266	0.7835363581632178	0.1483437693044884	0.0	-0.09752454576314797	0.0	0.0	-0.16665235655512683	0.3969956364983
2.580001	1.174948411645418	0.7848319190856452	0.1464034023517969	0.0	-0.09651199137278825	0.0	0.0	-0.1641631084440427	0.40052162195367164
2.6000010000000002	1.1752250819726369	0.7861188039405569	0.14448329424050468	0.0	-0.0954987475887129	0.0	0.0	-0.16170415595930346	0.4040046714950144
2.6200010000000002	1.1754739437548993	0.7873969558131166	0.14258345366011355	0.0	-0.0944853212745616	0.0	0.0	-0.15927548883589118	0.4074447097882765
2.6400010000000003	1.1756955188927238	0.7886663232649436	0.14070387934087328	0.0	-0.09347220151293567	0.0	0.0	-0.1568770791832031	0.41084168960449907
2.6600010000000003	1.1758903351520609	0.7899268601785944	0.13884456040805596	0.0	-0.09245985974417871	0.0	0.0	-0.15450888214623582	0.4141955907749303
2.6800010000000003	1.1760589252673355	0.7911785256020347	0.13700547673321117	0.0	-0.09144874992925726	0.0	0.0	-0.15217083656546293	0.41750641915791425
2.7000010000000003	1.1762018260757277	0.7924212835933796	0.1351865992819362	0.0	-0.09043930873511562	0.0	0.0	-0.1498628656340024	0.42077420561883533
2.7200010000000003	1.1763195776832673	0.7936551030661662	0.1333878904577275	0.0	-0.08943195574089911	0.0	0.0	-0.147584877550752	0.4239990050242954
2.7400010000000004	1.1764127226631822	0.7948799576354069	0.13160930444151264	0.0	-0.08842709366346588	0.0	0.0	-0.14533676616825486	0.4271808952515863
2.7600010000000004	1.1764818052868042	0.7960958254646563	0.12985078752649165	0.0	-0.08742510860063746	0.0	0.0	-0.14311841163413946	0.4303199762144222
2.7800010000000004	1.176527370787215	0.7973026891143085	0.1281122784479489	0.0	-0.08642637029067395	0.0	0.0	-0.1409296810250621	0.43341636890579444
2.8000010000000004	1.176549964655694	0.7985005353913271	0.12639370870772537	0.0	-0.08543123238649807	0.0	0.0	-0.13877042897216016	0.43647021445871625
2.820001	1.176550131970923	0.7996893552005969	0.12469500289307116	0.0	-0.08444003274323536	0.0	0.0	-0.13664049827710725	0.4394816732255334
2.840001	1.1765284167607968	0.8008691433980668	0.12301607898962537	0.0	-0.08345309371768282	0.0	0.0	-0.13453972051793847	0.44245092387639834
