r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m	Sigmata
2.520001	1.2033155083741789	0.7472347475958745	0.15228519303703864	0.0	-0.09954546935211321	0.0	0.0	-0.17172168862418935	0.38981530604751136	0.899159160178181
2.540001	1.203670821148715	0.7488523003066737	0.15030437609302968	0.0	-0.09853588600207334	0.0	0.0	-0.1691718922709837	0.3934268196232975	0.9013716632292381
2.560001	1.20399177986681	0.750457997179808	0.1483437693044884	0.0	-0.09752454576314797	0.0	0.0	-0.16665235655512683	0.3969956364983	0.9035452597397985
2.580001	1.2042790173222273	0.7520517733880641	0.1464034023517969	0.0	-0.09651199137278825	0.0	0.0	-0.1641631084440427	0.40052162195367164	0.9056801706312162
2.6000010000000002	1.2045331751823032	0.7536335716317295	0.14448329424050468	0.0	-0.0954987475887129	0.0	0.0	-0.16170415595930346	0.4040046714950144	0.9077766389615469
2.6200010000000002	1.2047549027957443	0.7552033419140799	0.14258345366011355	0.0	-0.0944853212745616	0.0	0.0	-0.15927548883589118	0.4074447097882765	0.9098349287787185
2.6400010000000003	1.2049448560390872	0.7567610413169622	0.14070387934087328	0.0	-0.09347220151293567	0.0	0.0	-0.1568770791832031	0.41084168960449907	0.9118553239856567
2.6600010000000003	1.205103696202877	0.7583066337768775	0.13884456040805596	0.0	-0.09245985974417871	0.0	0.0	-0.15450888214623582	0.4141955907749303	0.9138381272196764
2.6800010000000003	1.2052320889184267	0.7598400898619482	0.13700547673321117	0.0	-0.09144874992925726	0.0	0.0	-0.15217083656546293	0.41750641915791425	0.9157836587482808
2.7000010000000003	1.2053307031258267	0.761361386550129	0.1351865992819362	0.0	-0.09043930873511562	0.0	0.0	-0.1498628656340024	0.42077420561883533	0.9176922553833213
2.7200010000000003	1.2054002100836958	0.7628705070090009	0.1333878904577275	0.0	-0.08943195574089911	0.0	0.0	-0.147584877550752	0.4239990050242954	0.9195642694153052
2.7400010000000004	1.2054412824209917	0.7643674403774648	0.13160930444151264	0.0	-0.08842709366346588	0.0	0.0	-0.14533676616825486	0.4271808952515863	0.9214000675694621
2.7600010000000004	1.205454593231041	0.7658521815496284	0.12985078752649165	0.0	-0.08742510860063746	0.0	0.0	-0.14311841163413946	0.4303199762144222	0.9232000299850127
2.7800010000000004	1.2054408152077942	0.7673247309611605	0.1281122784479489	0.0	-0.08642637029067395	0.0	0.0	-0.1409296810250621	0.43341636890579444	0.9249645492189227
2.8000010000000004	1.2054006198241733	0.7687850943783642	0.12639370870772537	0.0	-0.08543123238649807	0.0	0.0	-0.13877042897216016	0.43647021445871625	0.9266940292752658
2.820001	1.205334676552245	0.770233282690201	0.12469500289307116	0.0	-0.08444003274323536	0.0	0.0	-0.13664049827710725	0.4394816732255334	0.9283888846611673
2.840001	1.2052436521248375	0.7716693117034769	0.12301607898962537	0.0	-0.08345309371768282	0.0	0.0	-0.13453972051793847	0.44245092387639834	0.9300495394701581
2.860001	1.2051282098381	0.7730932019413813	0.12135684868829873	0.0	-0.08247072247836655	0.0	0.0	-0.13246791664389276	0.445378162517409	0.9316764264936216
2.880001	1.2049890088944095	0.774504978445555	0.11971721768585984	0.0	-0.08149321132489884	0.0	0.0	-0.13042489755859407	0.4482636018288519	0.9332699863608953
2.900001	1.2048267037849356	0.7759046705818377	0.11809708597905177	0.0	-0.08052083801539713	0.0	0.0	-0.12841046469096654	0.45110747022390546	0.9348306667084517
2.920001	1.2046419437110891	0.7772923118498365	0.11649634815208945	0.0	-0.07955386610078011	0.0	0.0	-0.12642441055334877	0.4539100110280949	0.9363589213784731
2.940001	1.2044353720440106	0.7786679396964326	0.11491489365741187	0.0	-0.07859254526481059	0.0	0.0	-0.12446651928634085	0.45667148167972166	0.937855209647016
2.960001	1.2042076258211891	0.7800315953333326	0.113352607089585	0.0	-0.07763711166880886	0.0	0.0	-0.12253656718998276	0.4593921529514367	0.939319995481867
